batch_size,threshold,low_rank_mode,compose_mode,device,before_module_name,before_module_params,before_module_shape,before_latency_mean s,before_latency_std s,before_throughput_mean s,before_throughput_std s,before_model_size_mb,after_module_name,after_module_params,after_S_params,after_Vh_params,after_U_params,after_latency_mean s,after_latency_std s,after_throughput_mean s,after_throughput_std s,after_model_size_mb,after_S_shape,after_Vh_shape,after_U_shape
16,0.1,quantile,two_layers,cuda,Conv2d,36864,"[64, 64, 3, 3]",0.06081600021570921,0.033496976509638024,0.0044524000375531616,0.0017934441473878712,0.141,DecomposedConv2d,38400,0,34560,3840,0.13268160149455072,0.008824120154379682,0.00434600004227832,0.000995591490948555,0.146,0,"[60, 64, 3, 3]","[64, 60, 1, 1]"
16,0.1,quantile,two_layers,cuda,Conv2d,36864,"[64, 64, 3, 3]",0.046689600497484204,0.01906048773222119,0.0029520999756641685,0.0005143580293436147,0.141,DecomposedConv2d,38400,0,34560,3840,0.07865440063178539,0.023143511266777803,0.005133799975737929,0.001817439139156462,0.146,0,"[60, 64, 3, 3]","[64, 60, 1, 1]"
16,0.1,quantile,two_layers,cuda,Conv2d,36864,"[64, 64, 3, 3]",0.0608559999614954,0.020864637612057875,0.0048397000296972695,0.0027704407425306167,0.141,DecomposedConv2d,38400,0,34560,3840,0.06750719975680113,0.02419379732782771,0.009500199952162803,0.002879427263309258,0.146,0,"[60, 64, 3, 3]","[64, 60, 1, 1]"
16,0.1,quantile,two_layers,cuda,Conv2d,73728,"[128, 64, 3, 3]",0.050494400598108766,0.023812139022249525,0.003972700017038732,0.002385819808917697,0.281,DecomposedConv2d,81664,0,66816,14848,0.13736479990184308,0.02415451767482804,0.004119900008663535,0.0017506789247982084,0.312,0,"[116, 64, 3, 3]","[128, 116, 1, 1]"
16,0.1,quantile,two_layers,cuda,Conv2d,147456,"[128, 128, 3, 3]",0.07963200025260449,0.006887291834312013,0.0057842999696731566,0.0006711084673339828,0.562,DecomposedConv2d,148480,0,133632,14848,0.07441439926624298,0.01608154960249842,0.010708200000226497,0.001265209474037464,0.566,0,"[116, 128, 3, 3]","[128, 116, 1, 1]"
16,0.1,quantile,two_layers,cuda,Conv2d,8192,"[128, 64, 1, 1]",0.03221279997378588,0.0049387132620505635,0.0021457999828271568,0.0019916535516102682,0.031,DecomposedConv2d,11520,0,3840,7680,0.05756480004638433,0.02439036934717247,0.004281699965940788,0.002642439572141816,0.044,0,"[60, 64, 1, 1]","[128, 60, 1, 1]"
16,0.1,quantile,two_layers,cuda,Conv2d,147456,"[128, 128, 3, 3]",0.06708000022917986,0.03417052200154796,0.010016300017014146,0.0023228297954039725,0.562,DecomposedConv2d,148480,0,133632,14848,0.07860160022974014,0.02026077317923342,0.010468100011348725,0.0015912973204306592,0.566,0,"[116, 128, 3, 3]","[128, 116, 1, 1]"
16,0.1,quantile,two_layers,cuda,Conv2d,147456,"[128, 128, 3, 3]",0.09455039910972118,0.025911438893841898,0.008256100001744926,0.0025385379628876195,0.562,DecomposedConv2d,148480,0,133632,14848,0.14465440064668655,0.02570032531433793,0.01294079995714128,0.0018368076052155521,0.566,0,"[116, 128, 3, 3]","[128, 116, 1, 1]"
16,0.1,quantile,two_layers,cuda,Conv2d,294912,"[256, 128, 3, 3]",0.07169439923018217,0.02794166957576806,0.006954000005498529,0.002593887771381952,1.125,DecomposedConv2d,326656,0,267264,59392,0.07878240048885346,0.02263447486094606,0.008510200073942542,0.002262282256658925,1.246,0,"[232, 128, 3, 3]","[256, 232, 1, 1]"
16,0.1,quantile,two_layers,cuda,Conv2d,589824,"[256, 256, 3, 3]",0.09490720070898533,0.0396376666572015,0.022303800005465745,0.0017937910365377638,2.25,DecomposedConv2d,593920,0,534528,59392,0.10776479989290237,0.0350905280080175,0.02883979994803667,0.0012917804205929346,2.266,0,"[232, 256, 3, 3]","[256, 232, 1, 1]"
